,logFC,P.Value,adj.P.Val
Dtx3l,-1.0682029,0.07834123307442618,0.6487702586318997
C2cd4d,-20.914066,0.042670271381540226,0.5114231444705437
Ankrd13c,-0.5707656,0.07822840681360184,0.6487702586318997
Gm9888,-21.630392,0.04265995973084003,0.5114231444705437
AI661453,-0.7579054,0.078060913065338,0.6483588958604735
Cenpj,-1.5819701,0.04242741721551689,0.5113696863705612
Calcrl,-1.9561096,0.07825498539252729,0.6487702586318997
Acadvl,-0.37254795,0.042518263795680356,0.5114231444705437
Zbtb1,-0.9544853,0.07810708373849783,0.6483588958604735
Copa,-0.29354313,0.042328197976551844,0.5109462578266049
Hba-a2,-8.669722,0.07830673534417626,0.6487702586318997
Txnl1,-0.24099791,0.04227311769989476,0.510911621279402
Galm,-0.79103917,0.07807313740808283,0.6483588958604735
Ypel1,-21.317892,0.04186244919564581,0.5076941474914312
Cct2,-0.28426284,0.07799244586458118,0.6483260412385454
Bik,-0.84234184,0.042048716022204044,0.5089750985980996
Taok1,-0.6058709,0.0778988309581914,0.6479102195115664
Gm36888,-20.633677,0.04178437228183672,0.5076018784546611
Mybbp1a,-0.5611503,0.07783760179968827,0.6479102195115664
Ltbp4,-21.04749,0.04168151131234365,0.5076018784546611
Zkscan3,-0.5422726,0.0775748099338394,0.646996741797513
Hnrnpf,-0.23479775,0.04201395200842542,0.5089750985980996
Pde9a,-0.8878096,0.07730605766988913,0.6458505140631114
Slc25a32,-1.0039626,0.041620040640225196,0.5075565400212889
Hnrnpa2b1,-0.1812091,0.07711922382318254,0.645593481758576
Tctn3,-1.9512497,0.04129030854168623,0.5056408306641478
Ngef,-1.656712,0.0772914562990945,0.6458505140631114
Umps,-0.53581905,0.041525037057881575,0.5067496362626063
Gfm2,-0.8836354,0.07718613242899722,0.645593481758576
Asb3,-0.7608829,0.041151806316852925,0.5046209460233695
Yap1,-0.7643232,0.07717780190941864,0.645593481758576
Golt1b,-0.49705225,0.04135226607766856,0.5060469162833353
Tbca,-0.22937295,0.07674812121186357,0.6449998728149586
Wdr36,-0.77379584,0.041178309713623844,0.5046209460233695
Gse1,-0.5789321,0.07664168442931427,0.6446976660458167
Gpalpp1,-0.7224173,0.041022015240704215,0.5037595204925892
Dhrs3,-0.9187177,0.0766754749920763,0.6446976660458167
Usp2,-1.236072,0.0408696384931504,0.5036480766059831
Ccnd2,-0.41092256,0.07649648634658551,0.6444265793672154
Cnbd2,-21.01854,0.04068517292202915,0.5034933406752242
