gene,p.value,logfc
H2-DMb1,3.031683210815025e-10,1.4895089
Cd9,4.143483968376361e-10,0.2180435
Mdh1,3.2279533394846057e-10,0.18956943
Ubl5,4.983595319117562e-10,0.14613369
Hsdl2,3.299239095332378e-10,0.6584405
Mecom,5.251067543192012e-10,0.99094856
Rhoc,4.078904189396119e-10,0.554014
C2cd4a,5.233286393876668e-10,0.55471295
Uba1,4.435361732853737e-10,0.25623107
Hnrnpul1,5.519395646116321e-10,0.35022852
Taf10,4.436591060894763e-10,0.24544744
Rpl18a,5.932740518590055e-10,0.087618
Gmds,4.4700783845100017e-10,0.17282645
Mcee,6.493058160136533e-10,0.270546
Scd2,4.927652536240236e-10,0.36456913
Atp5j2,7.036455204164372e-10,0.12692931
Nudc,5.306353257236596e-10,0.30346224
Cldn4,8.301124519524381e-10,0.867588
Agr2,5.713115793368492e-10,0.1776903
Rps5,9.312439310406559e-10,0.10081052
Psmb6,5.972598711908612e-10,0.17656432
Cmc1,9.467051978542774e-10,0.3185529
Pdia3,6.163455674606914e-10,0.15636106
St6gal1,1.4761504104050183e-09,0.81758195
Parm1,7.104181085820126e-10,0.4168973
Clec2h,1.6475067926280202e-09,0.43857315
Ucp2,7.441328087462692e-10,0.16352768
Rps9,1.776142382862804e-09,0.093142994
Me1,8.172540282228289e-10,0.711439
Sorcs2,2.7057030877928122e-09,1.1176258
Zfpm1,8.459507513346101e-10,0.5118608
S100g,3.112962045195201e-09,1.4328905
Ppib,8.965852828874073e-10,0.12511797
Id2,3.0619714046667123e-09,0.37268415
Abcg2,1.0070596356818691e-09,0.37339553
Gng11,3.2787740685702013e-09,0.32373327
Smim3,1.1403469813874866e-09,0.41158164
Epb41l4aos,3.726266361482054e-09,0.41804627
Bsg,1.1446926687033131e-09,0.13348624
Gne,3.748236983871268e-09,0.3190099
Idh1,1.1853916926209078e-09,0.36824632
Rps7,4.01678428221709e-09,0.09057413
Nfe2l2,1.3234019198649389e-09,0.28967798
Eif3f,4.2917697344942156e-09,0.12542796
Psma7,1.3846402740517507e-09,0.17620657
Tmsb10,4.663309137534399e-09,0.13571668
Cope,1.4105119253644474e-09,0.15787831
Gast,5.0357615524970685e-09,23.244732
Psma1,1.5076327812622382e-09,0.22897805
Rpl13a,5.887256721154711e-09,0.09074721
Ube2s,1.5890078071147178e-09,0.279282
Igbp1,6.254356924974264e-09,0.27606577
B3galt5,1.721558194749899e-09,1.361595
Cox7b,6.515005450316955e-09,0.12271478
Cyb5b,1.7992736821876931e-09,0.23697759
Rps27a,7.301873899005467e-09,0.08213258
Dnaja4,1.8026351226659351e-09,1.0072452
Rpl7a,7.673080427768987e-09,0.09322418
Ffar4,1.81485463878489e-09,0.372799
Atpif1,8.620087970178764e-09,0.117704526
Spcs2,1.9088438882145136e-09,0.17686021
Rps26-ps1,8.692855140850203e-09,0.23614797
Psmd2,1.9510112465754378e-09,0.27813363
Gm10036,8.946866765060053e-09,0.36329305
Rpn2,2.0743922954433356e-09,0.17458127
Irf2bp2,9.061086007175666e-09,0.40131545
Jmjd6,2.2001009791903677e-09,0.42869508
Khk,9.556572374340843e-09,0.40206894
Tmprss2,2.701975348871503e-09,0.22623771
Cnn3,1.0130619754699375e-08,0.6695166
Espn,2.8497059052575004e-09,0.66379404
Sepp1,1.0380383504114587e-08,0.4561251
1110008L16Rik,3.4339946044821793e-09,0.32226714
mt-Atp8,1.0796280003498442e-08,0.38443354
Eif5a,3.443491206554603e-09,0.13317454
Myeov2,1.093038593351548e-08,0.18707013
Abhd6,3.636400224299648e-09,0.5302951
Naip6,1.1512926569232413e-08,0.45328498
Edem1,3.7151425197284835e-09,0.26613283
Gm6133,1.1723548029782032e-08,0.4344155
Psmb4,3.846855383392592e-09,0.18127963
Atp5g2,1.3176751897543449e-08,0.11378835
P4hb,4.025351013234136e-09,0.12527896
Tmem159,1.4626111898972877e-08,0.28941515
Tle1,5.786978942580729e-09,0.3360769
Mlph,1.6457498372254565e-08,0.2422665
Fabp5,5.921431966673165e-09,0.47392678
Gm10250,1.720990187367132e-08,0.23668645
Dll4,6.691902962939575e-09,0.42469245
Cox5b,1.778107151408479e-08,0.12169291
Mydgf,6.751657495470931e-09,0.16011052
Dhrs3,2.04506061097495e-08,0.6293721
Serp1,6.844263949624802e-09,0.15225321
Slc4a7,2.3507863710877063e-08,0.44024038
Rmdn3,6.903797594690204e-09,0.30999932
Gkn2,2.5980051560864115e-08,23.371677
Derl1,7.313956907159369e-09,0.25561458
Bcas1,2.5493874659850014e-08,0.26054215
Mrps6,8.148293896728084e-09,0.4454249
Stag2,2.651551065744959e-08,0.41865736
Cmtm8,8.497429167553421e-09,0.49441797
1500011K16Rik,2.682643257825881e-08,0.28876632
Ier2,8.675627881044339e-09,0.26875684
Bco2,2.8281105042945316e-08,0.5088719
Dnajb9,9.093780300845339e-09,0.3692917
Lgr5,2.8802289420675265e-08,1.5440788
Tmbim6,9.908994056194044e-09,0.124545865
Cdc42ep3,2.928119275066185e-08,0.57595676
Myl7,1.0537273200123212e-08,0.6069816
Oaz2,3.197314702718986e-08,0.33780336
Psmd6,1.098602426236531e-08,0.27229518
Slc25a35,3.306490329484406e-08,0.37375957
Mttp,1.1261443881116337e-08,0.6489488
Gas6,3.414089932707001e-08,0.321019
Ebp,1.2727036599702616e-08,0.21396068
Atp5sl,3.471534233611953e-08,0.535613
Tuba1c,1.3144093553461909e-08,0.30483973
Hpcal1,3.61349775909723e-08,0.26010057
Nars,1.3649118327387115e-08,0.22348723
Kctd12,3.696293729854706e-08,0.83149046
Myl6,1.3714830463215635e-08,0.108875394
Prss23,3.866759332270152e-08,0.5372909
H2afy,1.4101509485920437e-08,0.22210993
Actn1,3.900209753331426e-08,0.23723997
Dusp1,1.7319192142544206e-08,0.65313834
Timp2,5.4858256678004945e-08,0.96398395
Eif5,1.810168860871094e-08,0.17158915
Rpgrip1,6.202325567674527e-08,0.64132065
Ankrd11,1.966371090231029e-08,0.2624926
Tomm7,6.351823396093651e-08,0.13719723
Lgals9,2.0980793237437686e-08,0.1843078
Rps6,6.358383144866359e-08,0.0796566
Mpp1,2.112177647546271e-08,0.85269135
Eef1a1,6.450146727834009e-08,0.06643921
Hn1,2.2186760813828635e-08,0.16774115
Cdk6,6.749304116644932e-08,0.4686378
Bdh1,2.264420054005734e-08,0.26304153
Adi1,7.080321912860254e-08,0.41007245
Hspa8,2.3172889239323627e-08,0.15211917
Slc35a1,7.420188836632352e-08,0.23609193
Ces1c,2.3688952775072938e-08,0.9623376
Plac8,8.204100092023073e-08,0.09972819
Reep6,2.4046128321164917e-08,0.42159814
Isx,8.37053044071042e-08,0.32107398
Oaz1,2.490963043289355e-08,0.09984311
Xlr3b,8.931065443583528e-08,1.3358917
Tagln2,2.7925947678891376e-08,0.15361387
Prox1,9.202410822013822e-08,0.8625073
Phlda2,3.047429265572905e-08,1.124839
Plscr1,9.707126377960992e-08,0.23202188
Dcun1d5,3.2087532576756525e-08,0.26565617
Olfm4,1.0014978950497671e-07,1.1935581
Rexo2,3.4098511151512575e-08,0.24269418
Tmem50a,1.06163719458778e-07,0.20109385
G0s2,3.62579599002408e-08,3.4820364
Gip,1.1310078957493219e-07,0.39294273
Pitpna,3.751875846705461e-08,0.22964382
Smim22,1.1452109268138229e-07,0.21398644
Eif6,3.8095646904284386e-08,0.1651924
Osr2,1.1661689633323885e-07,0.43588668
Krt19,4.395776415298017e-08,0.16885483
Cdo1,1.2086334689479655e-07,0.5282395
Fkbp2,5.006914485378951e-08,0.13956495
Lpcat2,1.2364044868288513e-07,0.7826049
Cda,5.0129281665698306e-08,0.33028874
Adss,1.4254683565329618e-07,0.33419833
Fosb,5.3531986463847486e-08,0.523003
Pard3,1.4369638235582605e-07,0.43374303
Ncald,5.694553701821235e-08,0.4203602
Kxd1,1.5602662476347594e-07,0.32410994
Tfg,5.7314523654510826e-08,0.22217962
Pddc1,1.5697105650158774e-07,0.351599
Etnk1,5.881029475334558e-08,0.3248753
Ost4,1.698857160444923e-07,0.13686454
Gpr20,6.083613532594995e-08,0.7245788
Sis,1.7060147883804145e-07,0.5871388
Slc25a20,6.114223889488791e-08,0.4586336
Sh3bgrl,1.7180412795831966e-07,0.25975525
Slmo2,6.212222932657559e-08,0.24087544
Fam134b,1.797387072527642e-07,0.3325114
Ddost,6.503130619465286e-08,0.16391006
Mcur1,1.803380927615681e-07,0.37391293
Cmas,6.755723574834376e-08,0.18886991
Ndufa7,1.9017462545521804e-07,0.13611951
Ogdh,6.982464829690364e-08,0.23527914
Gm26825,1.9520898237590607e-07,1.3927412
Psmd13,7.349792144013452e-08,0.24319953
Cib2,1.9443654530576103e-07,0.48938078
Cct3,7.353843594780419e-08,0.2144479
Gm10709,2.0884125004479416e-07,0.41310617
Ran,7.39602239509107e-08,0.19738019
Rnaset2b,2.679267113842228e-07,0.27711773
Clptm1l,7.515001201271562e-08,0.21309216
Rnase4,2.8091459301904107e-07,0.18458015
Prex1,7.668284008890782e-08,1.2739271
Gapdh,2.8904312117566054e-07,0.12636736
Ppp2ca,7.974990963668312e-08,0.22510763
Eif4a2,2.934592755809229e-07,0.19610652
Ptpro,9.507386961062903e-08,0.73477423
Pof1b,3.0286109787111103e-07,0.4870269
Cct7,9.847507784588728e-08,0.20090723
Hscb,3.097164735647099e-07,0.43300262
Ccdc141,1.0012848397269122e-07,0.79606843
Gm11273,3.2067257296119603e-07,0.31025475
Kcnk1,1.0141469493345367e-07,0.19851688
Rps2,3.26523856185998e-07,0.08102756
Muc13,1.0314633692068356e-07,0.11359057
Abhd2,3.53559007141994e-07,0.4692105
Fkbp11,1.0551517375869398e-07,0.23997873
Ndufb5,3.6274513691414705e-07,0.122318484
Atf4,1.1105105014901205e-07,0.17304336
Pdlim7,3.648883255589241e-07,0.49634644
Fam3b,1.1444286857649053e-07,0.63149863
S100a11,3.802728694497715e-07,0.17188236
Atp6v0e,1.2032889679423062e-07,0.17029938
Axin2,3.984122877635112e-07,0.6333719
Tars,1.2192303677499075e-07,0.23086278
