,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gm19272,-18.079025,,,0.9832790261321174,1.0,,-18.079025
Tepp,-17.233025,,,0.9832790261321174,1.0,,-17.233025
Tgtp1,-17.128105,,,0.9832790261321174,1.0,,-17.128105
Fam198a,-17.273531,,,0.9832790261321174,1.0,,-17.273531
Gm9796,-16.532793,,,0.9832790261321174,1.0,,-16.532793
Dppa3,-17.648798,,,0.9832790261321174,1.0,,-17.648798
Gm43352,-17.84649,,,0.9832790261321174,1.0,,-17.84649
Icos,-18.74936,,,0.9832790261321174,1.0,,-18.74936
C130026I21Rik,-17.24105,,,0.9832790261321174,1.0,,-17.24105
Cfap100,-17.036411,,,0.9832790261321174,1.0,,-17.036411
9430098F02Rik,-17.432684,,,0.9832790261321174,1.0,,-17.432684
Tshz3,-17.566664,,,0.9832790261321174,1.0,,-17.566664
Ccdc180,-18.09729,,,0.9832790261321174,1.0,,-18.09729
Gm14762,-17.062868,,,0.9832790261321174,1.0,,-17.062868
Tmem59l,-17.211967,,,0.9832790261321174,1.0,,-17.211967
Nxph1,-18.133348,,,0.9832790261321174,1.0,,-18.133348
Bmp4,-16.916431,,,0.9832790261321174,1.0,,-16.916431
Barx1,-17.313023,,,0.9832790261321174,1.0,,-17.313023
Zfp385c,-17.022696,,,0.9832790261321174,1.0,,-17.022696
Lrrc75b,-17.541147,,,0.9832790261321174,1.0,,-17.541147
Car3,-17.2703,,,0.9832790261321174,1.0,,-17.2703
Htra3,-17.512678,,,0.9832790261321174,1.0,,-17.512678
Gm15462,-17.506525,,,0.9832790261321174,1.0,,-17.506525
Onecut3,-17.917536,,,0.9832790261321174,1.0,,-17.917536
Atp6v0a4,-18.654037,,,0.9832790261321174,1.0,,-18.654037
Fancd2os,-16.915747,,,0.9832790261321174,1.0,,-16.915747
Cntnap2,-16.74563,,,0.9832790261321174,1.0,,-16.74563
Gm21917,-17.296844,,,0.9832790261321174,1.0,,-17.296844
Cyp2f2,-16.832302,,,0.9832790261321174,1.0,,-16.832302
Tns1,-16.760962,,,0.9832790261321174,1.0,,-16.760962
Kif16bos,-16.33565,,,0.9832790261321174,1.0,,-16.33565
B3galt2,-16.994175,,,0.9832790261321174,1.0,,-16.994175
Fign,-17.467287,,,0.9832790261321174,1.0,,-17.467287
Rgs20,-17.177298,,,0.9832790261321174,1.0,,-17.177298
Wisp2,-17.819416,,,0.9832790261321174,1.0,,-17.819416
AU016765,-17.267181,,,0.9832790261321174,1.0,,-17.267181
Hp,-17.099184,,,0.9832790261321174,1.0,,-17.099184
Syt17,-16.76996,,,0.9832790261321174,1.0,,-16.76996
Osbp2,-17.319267,,,0.9832790261321174,1.0,,-17.319267
Rnf112,-17.101528,,,0.9832790261321174,1.0,,-17.101528
Atp2a1,-17.819416,,,0.9832790261321174,1.0,,-17.819416
Serping1,-16.842955,,,0.9832790261321174,1.0,,-16.842955
Tmem212,-17.35497,,,0.9832790261321174,1.0,,-17.35497
Ttn,-16.552221,,,0.9832790261321174,1.0,,-16.552221
Medag,-16.884354,,,0.9832790261321174,1.0,,-16.884354
Lman1l,-16.87108,,,0.9832790261321174,1.0,,-16.87108
Clca4a,-17.52627,,,0.9832790261321174,1.0,,-17.52627
Syn1,-17.34531,,,0.9832790261321174,1.0,,-17.34531
Trappc2,-0.051745173,,,0.9832790261321174,1.0,,-0.051745173
Rbm24,-16.936136,,,0.9832790261321174,1.0,,-16.936136
Eras,-17.072388,,,0.9832790261321174,1.0,,-17.072388
6330403A02Rik,-17.717577,,,0.9832790261321174,1.0,,-17.717577
Ceacam16,-17.22248,,,0.9832790261321174,1.0,,-17.22248
Gm26876,-16.525187,,,0.9832790261321174,1.0,,-16.525187
