,logFC,P.Value,adj.P.Val
Ppic,0.7192866,1.2058862140748234e-05,0.0007595354279547265
Mxd4,0.35959917,0.0003642855052076656,0.012334468560721209
Mrps24,0.18537204,1.224158740931869e-05,0.0007682907697998475
Insr,0.6578896,0.00036799624946541365,0.012412280406632848
Defa3,1.0472426,1.2877025053468573e-05,0.0008024395789524936
Sorbs2,0.71358836,0.0003726489417120737,0.012521146945901092
Odc1,0.2986802,1.3053024282624458e-05,0.0008076788581639423
Sh3bgr,1.4397277,0.0003725810899105267,0.012521146945901092
Fbp2,0.33539775,1.3335517920699443e-05,0.0008193883091624172
Gm9493,0.2151322,0.00038299483605914645,0.012819749055366439
Fabp5,0.6821498,1.4254592875913315e-05,0.0008728082251164623
Pigr,0.14609262,0.0003876715890628896,0.012898697011222806
Cpt2,0.46585205,1.4449329081988283e-05,0.0008816599304089586
Tmem256,0.23705605,0.0003918649478108749,0.012939121263219132
Bop1,0.52279025,1.5625933329422656e-05,0.0009436238020547914
Shisa2,0.6475637,0.0003931701497012918,0.012939121263219132
Mrpl17,0.29712832,1.5428491718159627e-05,0.0009349133964248936
Rps16,0.072276175,0.0004088922213975683,0.013249394580384771
H2afy,0.25618762,1.5709756494078326e-05,0.0009454368180494467
Tmsb10,0.2006256,0.0004115974490832034,0.013295959508711642
Cox5a,0.15361342,1.6119036161454855e-05,0.0009667570732602258
Nfia,0.39581472,0.00040940199494388725,0.013249394580384771
Nucks1,0.33475137,1.6239949177479787e-05,0.0009706960098498378
Cobl,0.60815656,0.00043102597070247963,0.013821933180939189
U2surp,0.35061577,1.6497543146783773e-05,0.0009805160335664147
Ccl27a,0.8798978,0.00043694054139070866,0.013889307470483272
Dgat1,0.45092714,1.6515833718526078e-05,0.0009805160335664147
Mrpl52,0.1550774,0.0004434402765382568,0.01404067744073295
Znhit2,0.58289564,1.658193157233478e-05,0.0009811255337395257
Crebl2,1.3788751,0.0004511154180923499,0.014258005831181413
Alg3,0.6968881,1.676189175432353e-05,0.000985139544477349
