,logFC,P.Value,adj.P.Val
Hist2h2be,0.5212381,0.0015521167245230363,0.009658409065171146
Abca1,0.8881236,0.00022495758795209857,0.001773521620943126
Serinc1,0.22849894,0.0015545139830388962,0.009669902380156645
Ubac2,0.24794844,0.00022555082742393133,0.001776604522779357
Zmiz1,0.24492368,0.0015573260421742011,0.009683966928212044
Txndc17,0.10687723,0.00022670177508869277,0.0017848702032408593
Sesn2,0.51663154,0.00156783226703167,0.009735518172631638
Ado,0.2513947,0.00023174893761962172,0.0018229740737643746
H2afv,0.07362737,0.0015704211008724083,0.009748149065923995
Utp20,0.3443945,0.00023669324313421223,0.001858539035566359
Hnrnpul1,0.16122173,0.001575034332088196,0.009773332739331168
Psme2,0.11677909,0.00023632709103254006,0.0018564935050133333
Ehhadh,0.4167322,0.001578651391314906,0.009792319413899344
Mrps11,0.20313887,0.00023787086348979816,0.0018669516230934448
Apobec3,0.18475035,0.001600649728410772,0.009918271395402856
Pola1,0.3287789,0.00024060205770168265,0.0018875446249962808
Vwa5a,0.44627425,0.0016002548131146977,0.009918271395402856
