,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Smg1,-0.30002645,,,6.682190359524191e-06,2.6621576899790923e-05,,-0.30002645
Hpcal1,-0.3281781,,,6.556540060553019e-06,2.6132967788348186e-05,,-0.3281781
Ier3ip1,-0.06992122,,,6.492545465691286e-06,2.5901651093737656e-05,,-0.06992122
Frg1,-0.18405968,,,6.409301040333243e-06,2.5616576525800868e-05,,-0.18405968
Tia1,-0.15621153,,,6.362513071693307e-06,2.5452980272540227e-05,,-0.15621153
Matr3,-0.13271408,,,6.160526083817333e-06,2.4758878061314876e-05,,-0.13271408
Hnrnpr,-0.11259909,,,6.097571954119751e-06,2.451720305141674e-05,,-0.11259909
Gtf2b,-0.22446443,,,6.062919992587699e-06,2.4400446062761513e-05,,-0.22446443
Npc1l1,-0.45542476,,,5.8198771038888124e-06,2.348755416160884e-05,,-0.45542476
Zak,-0.278236,,,5.7926503557378445e-06,2.341027872730315e-05,,-0.278236
B4galt5,-0.60942745,,,5.551295920454815e-06,2.2455754042118988e-05,,-0.60942745
Ipmk,-0.20731491,,,4.976340749460898e-06,2.023355010994555e-05,,-0.20731491
Dusp11,-0.16577621,,,4.859091307122805e-06,1.9775318695139766e-05,,-0.16577621
Clca3a2,-0.6244228,,,4.806509853545059e-06,1.9579657992908715e-05,,-0.6244228
Trp53i11,-0.97767377,,,4.598484445289998e-06,1.8758622845098995e-05,,-0.97767377
Zkscan3,-0.21960925,,,4.474198105699046e-06,1.8260189733728547e-05,,-0.21960925
Tspan17,-0.58908147,,,4.121660674536151e-06,1.686098646764365e-05,,-0.58908147
Gsdmd,-0.7099655,,,4.10869452209821e-06,1.681585757090383e-05,,-0.7099655
Ntan1,-0.18100397,,,3.860461194884309e-06,1.5829711871287406e-05,,-0.18100397
Morf4l1,-0.08190963,,,3.6968993458595633e-06,1.5166184999319105e-05,,-0.08190963
Dab2ip,-0.27813792,,,3.578914215387536e-06,1.4702977917941328e-05,,-0.27813792
Sorl1,-0.27447858,,,3.502148138433413e-06,1.4394408400662724e-05,,-0.27447858
Pfkfb4,-0.927085,,,3.491651109945518e-06,1.4362944455157531e-05,,-0.927085
Anxa4,-0.06535004,,,3.1855001088993163e-06,1.3136410079061555e-05,,-0.06535004
Prkra,-0.24772818,,,3.1294740352029616e-06,1.2917624780635966e-05,,-0.24772818
Rb1cc1,-0.27815494,,,3.06742682795658e-06,1.2673546300107677e-05,,-0.27815494
Rhoq,-0.48564962,,,2.957169283154019e-06,1.2241272656408517e-05,,-0.48564962
March7,-0.22811897,,,2.923630007134244e-06,1.2125532276726137e-05,,-0.22811897
H2afj,-0.056935124,,,2.9207471997335518e-06,1.2119358189634256e-05,,-0.056935124
Tob2,-0.32313576,,,2.760919776846055e-06,1.1489074016334494e-05,,-0.32313576
Slc44a4,-0.4723902,,,2.5844892195228255e-06,1.0791049368545592e-05,,-0.4723902
Hmg20b,-0.17696078,,,2.5556239072891e-06,1.0680787800992379e-05,,-0.17696078
mt-Atp8,-0.21129727,,,2.417862910605197e-06,1.0114765294461491e-05,,-0.21129727
Vasp,-0.08130648,,,2.2734655612918382e-06,9.529043454344237e-06,,-0.08130648
Ccdc6,-0.32681525,,,2.234632910009736e-06,9.37532040864606e-06,,-0.32681525
Tnfsf13os,-0.33143628,,,2.2088117441733095e-06,9.275942266714289e-06,,-0.33143628
Angel2,-0.21612585,,,2.2077580653453236e-06,9.275942266714289e-06,,-0.21612585
Snrpe,-0.053896006,,,2.1929144219946546e-06,9.218087558220276e-06,,-0.053896006
Gm2a,-0.564437,,,2.140062356193451e-06,9.013353712398096e-06,,-0.564437
Kdelr1,-0.09506127,,,2.0637448579065656e-06,8.704577413770875e-06,,-0.09506127
Nnt,-0.22321424,,,2.004003848328969e-06,8.469035222908958e-06,,-0.22321424
Pbxip1,-0.34198532,,,1.958733419561791e-06,8.2817459223009e-06,,-0.34198532
Pddc1,-0.31250829,,,1.915406932432956e-06,8.114343305867294e-06,,-0.31250829
Trmt1,-0.15734307,,,1.884155138195039e-06,7.989736886014377e-06,,-0.15734307
Lad1,-0.122786574,,,1.860896184566401e-06,7.898813736540881e-06,,-0.122786574
Thap4,-0.10108022,,,1.8293401672021312e-06,7.772460446475135e-06,,-0.10108022
