,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Cfl1,0.11371914,,,0.018162346448463738,0.29067417754862007,,0.11371914
Edf1,0.09909159,,,0.018259731150696852,0.29100487501929895,,0.09909159
Creb3l3,1.1746488,,,0.018311169648990593,0.29121285735270996,,1.1746488
Nudc,0.1701694,,,0.018474030980249967,0.2923359935787156,,0.1701694
Dynll1,0.11357502,,,0.01849740006825514,0.2923359935787156,,0.11357502
Ms4a8a,0.374584,,,0.018630314173310215,0.29321486165711885,,0.374584
Dnttip1,0.42517087,,,0.018698395336599016,0.2936770745826918,,0.42517087
Tmem208,0.16165265,,,0.018808832405482024,0.29480124509914596,,0.16165265
Eftud2,0.47962594,,,0.018853695063238744,0.29489511494789505,,0.47962594
Gm43861,0.29066035,,,0.018927790525782688,0.2950860727104914,,0.29066035
Eci2,0.18306462,,,0.018943701214079796,0.2950860727104914,,0.18306462
Ube2k,0.17337403,,,0.019028755891180246,0.2958035700624863,,0.17337403
Tomm22,0.12212512,,,0.0191542852485353,0.297146028415928,,0.12212512
Calm2,0.1177449,,,0.01935069170671105,0.29955521342259167,,0.1177449
Hnrnpab,0.17448185,,,0.01951615957642639,0.3003034209873643,,0.17448185
Manbal,0.36439452,,,0.019663669399277273,0.30133046912433453,,0.36439452
Clns1a,0.2799993,,,0.01986739350984508,0.30263864892707787,,0.2799993
Ddost,0.20101142,,,0.020410252224471376,0.30904625424119736,,0.20101142
Psmc6,0.19832,,,0.020657871947239597,0.3095814010881195,,0.19832
Cdhr5,0.15422381,,,0.020723770794737514,0.3095814010881195,,0.15422381
Fam183b,0.10166899,,,0.02078122303311601,0.3095814010881195,,0.10166899
Cyb5a,0.1720357,,,0.020789852832900697,0.3095814010881195,,0.1720357
Pycr2,0.16334791,,,0.020812880906266932,0.3095814010881195,,0.16334791
Atxn10,0.19689208,,,0.021193140799978253,0.31339408598174473,,0.19689208
Mrpl38,0.2923687,,,0.021193140799978253,0.31339408598174473,,0.2923687
Hadh,0.1990988,,,0.021286943338052967,0.3135560710423906,,0.1990988
Commd1,0.17288737,,,0.02131633069367188,0.3135560710423906,,0.17288737
Uba1,0.18693577,,,0.021328095525688574,0.3135560710423906,,0.18693577
Epn1,0.15897156,,,0.021437188572907613,0.31394307435150026,,0.15897156
Exosc7,0.2659891,,,0.021490436328873284,0.314116473970776,,0.2659891
Elf3,0.17507842,,,0.021591329681037084,0.3145962491742063,,0.17507842
Smim6,0.108974904,,,0.02167174437309036,0.31486349823817805,,0.108974904
4833439L19Rik,0.17824125,,,0.021707567832661104,0.31486349823817805,,0.17824125
Park7,0.13789502,,,0.022336747255586358,0.3197104993978832,,0.13789502
Uba2,0.30508375,,,0.02259220567357301,0.32154685223212914,,0.30508375
Eif6,0.16474338,,,0.02281898091833355,0.32379663445944323,,0.16474338
0610011F06Rik,0.12943393,,,0.022865822732315622,0.32379663445944323,,0.12943393
Ppil1,0.34774202,,,0.022878327981843076,0.32379663445944323,,0.34774202
Srrt,0.33221573,,,0.02353363606920792,0.33127990204087776,,0.33221573
Psma7,0.1305988,,,0.023565701809711972,0.33127990204087776,,0.1305988
Cacna1a,0.13888864,,,0.02383331388033221,0.33357844851697444,,0.13888864
Hspe1,0.12280322,,,0.02408720340834585,0.33589250929358755,,0.12280322
Ptges3,0.1564137,,,0.02444592437014673,0.3390251961095669,,0.1564137
Cd177,0.413293,,,0.02546752507054589,0.348618355978942,,0.413293
Psmc2,0.17789714,,,0.02547782186541735,0.348618355978942,,0.17789714
Hnrnpr,0.17869554,,,0.025505297596666594,0.348618355978942,,0.17869554
Rnf11,0.23441336,,,0.02560856002982806,0.34940024529905694,,0.23441336
Cbr1,0.17844966,,,0.025660326730279872,0.3494779866712802,,0.17844966
Noct,0.39014572,,,0.025809226561250072,0.3508759725692528,,0.39014572
Msantd4,0.56340456,,,0.025993781827951336,0.35231221866592455,,0.56340456
Ppm1a,0.3581263,,,0.02626394175147538,0.35465921950502904,,0.3581263
Rab3d,0.15260194,,,0.026274516393596934,0.35465921950502904,,0.15260194
